date,C,C#,Java,Rust
2001-06-30,20.24,0.38,26.49,
2001-07-30,20.77,0.43,25.03,
2001-08-30,20.75,0.38,24.66,
2001-09-28,20.77,0.39,24.82,
2001-10-26,19.75,0.42,25.68,
2001-11-28,19.21,0.76,24.37,
2001-12-31,20.14,0.59,24.2,
2002-01-30,18.83,0.62,24.06,
2002-02-27,19.89,0.74,24.01,
2002-03-29,19.85,0.74,24.41,
2002-04-29,19.82,1.18,25.05,
2002-05-29,19.99,1.16,25.19,
2002-06-29,19.57,1.46,24.2,
2002-07-31,19.25,1.36,24.53,
2002-08-29,18.16,1.46,22.89,
2002-09-29,18.7,1.65,24.48,
2002-10-30,18.73,1.78,24.2,
2002-11-29,17.5,2.38,24.12,
2002-12-31,17.26,2.45,24.23,
2003-01-31,18.25,1.99,24.79,
2003-02-28,18.54,1.98,24.78,
2003-03-31,17.21,2.38,24.6,
2003-04-30,18.02,1.88,24.66,
2003-05-30,18.5,1.94,23.11,
2003-06-30,18.52,1.78,22.34,
2003-07-31,17.97,2,23.21,
2003-08-31,17.78,2.06,22.24,
2003-09-30,18.31,1.94,21.9,
2003-10-31,17,1.9,23.08,
2003-11-30,18.47,1.71,25.01,
2003-12-31,18.6,1.8,23.57,
2004-01-31,18.2,2.18,22.56,
2004-02-29,18.93,2.24,23.17,
2004-03-31,17.75,2.14,24.24,
2004-04-30,17.95,1.88,18.69,
2004-05-30,18.29,1.65,17.54,
2004-06-30,17.14,1.67,17.05,
2004-07-31,16.33,1.63,17,
2004-08-30,17.12,1.63,15.9,
2004-09-30,18.17,1.64,17.05,
2004-10-31,17.99,1.5,14.8,
2004-11-30,19.7,1.95,16.33,
2004-12-31,20.71,2.2,17.48,
2005-01-31,19.82,2.36,18.34,
2005-02-28,19.47,2.53,18.87,
2005-03-31,18.63,2.82,16.98,
2005-04-30,18.52,2.77,17.4,
2005-05-31,19.37,2.78,18.57,
2005-06-30,19.85,3.14,19.66,
2005-07-31,19.47,3.48,21.21,
2005-08-31,19.16,3.29,22.44,
2005-09-30,18.77,3.46,21.87,
2005-12-03,19.63,3.31,22.13,
2006-01-04,19.01,3.55,22.25,
2006-02-02,18.33,3.97,22.43,
2006-03-01,17.79,3.15,21.89,
2006-04-02,17.69,3.95,21.28,
2006-05-01,17.69,3.27,21.32,
2006-06-01,18.25,3.24,21.13,
2006-07-02,17.83,3.4,21.85,
2006-08-02,17.43,2.68,22.38,
2006-09-02,18.06,2.99,21.53,
2006-10-01,17.66,3.06,21.17,
2006-11-02,17.2,3.02,20.4,
2006-12-01,16.62,3.17,19.91,
2007-01-02,15.81,3.52,19.16,
2007-02-03,16.1,3.19,18.98,
2007-03-03,15.63,3.37,18.04,
2007-04-01,14.94,3.55,18.36,
2007-05-05,15.15,3.66,19.14,
2007-06-02,15.97,3.48,20.03,
2007-07-02,16.36,3.71,21.01,
2007-08-05,15.7,3.99,21.77,
2007-09-02,14.91,3.58,21.7,
2007-10-04,14.59,3.74,21.62,
2007-11-04,13.97,3.92,20.54,
2007-12-03,13.17,3.99,20.05,
2008-01-03,13.92,4.86,20.85,
2008-02-07,14.86,4.51,21.48,
2008-06-01,15.51,4.06,20.89,
2008-07-02,15.95,4,21.34,
2008-08-03,16.18,3.7,21.57,
2008-09-03,15.38,4.33,20.71,
2008-10-06,15.57,3.77,20.95,
2008-11-02,15.28,4.03,20.3,
2008-12-03,15.02,4.58,17.92,
2009-01-02,15.93,5.61,19.02,
2009-02-01,15.84,5.06,19.4,
2009-03-05,15.86,4.32,19.8,
2009-04-07,15.47,4.06,19.34,
2009-05-01,16.13,4.27,19.54,
2009-06-04,16.78,4.54,20.15,
2009-07-02,17.32,4.54,20.45,
2009-08-01,17.22,4.44,19.53,
2009-09-05,16.86,4.19,19.38,
2009-10-02,16.84,4.42,18.65,
2009-11-02,17.32,5.35,18.37,
2009-12-02,16.28,6.26,17.06,
2010-01-05,16.22,5.77,17.48,
2010-02-07,16.6,5.01,17.35,
2010-03-07,17.28,4.26,17.51,
2010-04-05,18.06,4.43,18.05,
2010-05-15,18.19,4.78,17.96,
2010-07-06,18.48,5.73,18.67,
2010-07-30,17.87,4.99,17.99,
2010-09-11,17.15,5.02,17.92,
2010-10-02,17.18,4.96,18.17,
2010-11-03,16.72,5.71,18.51,
2010-12-07,16.08,6.69,18,
2011-01-02,15.82,6.23,17.77,
2011-02-08,14.99,6.81,18.48,
2011-03-08,15.26,7.21,19.71,
2011-04-03,16.16,7.19,19.04,
2011-05-02,16.17,7.54,18.16,0.01
2011-06-05,16.28,6.84,18.58,0.01
2011-06-27,16.28,6.84,18.58,0.01
2011-07-08,17.28,6.22,19.25,0.01
