date,language,rating
2001-06-30,C,20.24
2001-06-30,C#,0.38
2001-06-30,Java,26.49
2001-07-30,C,20.77
2001-07-30,C#,0.43
2001-07-30,Java,25.03
2001-08-30,C,20.75
2001-08-30,C#,0.38
2001-08-30,Java,24.66
2001-09-28,C,20.77
2001-09-28,C#,0.39
2001-09-28,Java,24.82
2001-10-26,C,19.75
2001-10-26,C#,0.42
2001-10-26,Java,25.68
2001-11-28,C,19.21
2001-11-28,C#,0.76
2001-11-28,Java,24.37
2001-12-31,C,20.14
2001-12-31,C#,0.59
2001-12-31,Java,24.2
2002-01-30,C,18.83
2002-01-30,C#,0.62
2002-01-30,Java,24.06
2002-02-27,C,19.89
2002-02-27,C#,0.74
2002-02-27,Java,24.01
2002-03-29,C,19.85
2002-03-29,C#,0.74
2002-03-29,Java,24.41
2002-04-29,C,19.82
2002-04-29,C#,1.18
2002-04-29,Java,25.05
2002-05-29,C,19.99
2002-05-29,C#,1.16
2002-05-29,Java,25.19
2002-06-29,C,19.57
2002-06-29,C#,1.46
2002-06-29,Java,24.2
2002-07-31,C,19.25
2002-07-31,C#,1.36
2002-07-31,Java,24.53
2002-08-29,C,18.16
2002-08-29,C#,1.46
2002-08-29,Java,22.89
2002-09-29,C,18.7
2002-09-29,C#,1.65
2002-09-29,Java,24.48
2002-10-30,C,18.73
2002-10-30,C#,1.78
2002-10-30,Java,24.2
2002-11-29,C,17.5
2002-11-29,C#,2.38
2002-11-29,Java,24.12
2002-12-31,C,17.26
2002-12-31,C#,2.45
2002-12-31,Java,24.23
2003-01-31,C,18.25
2003-01-31,C#,1.99
2003-01-31,Java,24.79
2003-02-28,C,18.54
2003-02-28,C#,1.98
2003-02-28,Java,24.78
2003-03-31,C,17.21
2003-03-31,C#,2.38
2003-03-31,Java,24.6
2003-04-30,C,18.02
2003-04-30,C#,1.88
2003-04-30,Java,24.66
2003-05-30,C,18.5
2003-05-30,C#,1.94
2003-05-30,Java,23.11
2003-06-30,C,18.52
2003-06-30,C#,1.78
2003-06-30,Java,22.34
2003-07-31,C,17.97
2003-07-31,C#,2
2003-07-31,Java,23.21
2003-08-31,C,17.78
2003-08-31,C#,2.06
2003-08-31,Java,22.24
2003-09-30,C,18.31
2003-09-30,C#,1.94
2003-09-30,Java,21.9
2003-10-31,C,17
2003-10-31,C#,1.9
2003-10-31,Java,23.08
2003-11-30,C,18.47
2003-11-30,C#,1.71
2003-11-30,Java,25.01
2003-12-31,C,18.6
2003-12-31,C#,1.8
2003-12-31,Java,23.57
2004-01-31,C,18.2
2004-01-31,C#,2.18
2004-01-31,Java,22.56
2004-02-29,C,18.93
2004-02-29,C#,2.24
2004-02-29,Java,23.17
2004-03-31,C,17.75
2004-03-31,C#,2.14
2004-03-31,Java,24.24
2004-04-30,C,17.95
2004-04-30,C#,1.88
2004-04-30,Java,18.69
2004-05-30,C,18.29
2004-05-30,C#,1.65
2004-05-30,Java,17.54
2004-06-30,C,17.14
2004-06-30,C#,1.67
2004-06-30,Java,17.05
2004-07-31,C,16.33
2004-07-31,C#,1.63
2004-07-31,Java,17
2004-08-30,C,17.12
2004-08-30,C#,1.63
2004-08-30,Java,15.9
2004-09-30,C,18.17
2004-09-30,C#,1.64
2004-09-30,Java,17.05
2004-10-31,C,17.99
2004-10-31,C#,1.5
2004-10-31,Java,14.8
2004-11-30,C,19.7
2004-11-30,C#,1.95
2004-11-30,Java,16.33
2004-12-31,C,20.71
2004-12-31,C#,2.2
2004-12-31,Java,17.48
2005-01-31,C,19.82
2005-01-31,C#,2.36
2005-01-31,Java,18.34
2005-02-28,C,19.47
2005-02-28,C#,2.53
2005-02-28,Java,18.87
2005-03-31,C,18.63
2005-03-31,C#,2.82
2005-03-31,Java,16.98
2005-04-30,C,18.52
2005-04-30,C#,2.77
2005-04-30,Java,17.4
2005-05-31,C,19.37
2005-05-31,C#,2.78
2005-05-31,Java,18.57
2005-06-30,C,19.85
2005-06-30,C#,3.14
2005-06-30,Java,19.66
2005-07-31,C,19.47
2005-07-31,C#,3.48
2005-07-31,Java,21.21
2005-08-31,C,19.16
2005-08-31,C#,3.29
2005-08-31,Java,22.44
2005-09-30,C,18.77
2005-09-30,C#,3.46
2005-09-30,Java,21.87
2005-12-03,C,19.63
2005-12-03,C#,3.31
2005-12-03,Java,22.13
2006-01-04,C,19.01
2006-01-04,C#,3.55
2006-01-04,Java,22.25
2006-02-02,C,18.33
2006-02-02,C#,3.97
2006-02-02,Java,22.43
2006-03-01,C,17.79
2006-03-01,C#,3.15
2006-03-01,Java,21.89
2006-04-02,C,17.69
2006-04-02,C#,3.95
2006-04-02,Java,21.28
2006-05-01,C,17.69
2006-05-01,C#,3.27
2006-05-01,Java,21.32
2006-06-01,C,18.25
2006-06-01,C#,3.24
2006-06-01,Java,21.13
2006-07-02,C,17.83
2006-07-02,C#,3.4
2006-07-02,Java,21.85
2006-08-02,C,17.43
2006-08-02,C#,2.68
2006-08-02,Java,22.38
2006-09-02,C,18.06
2006-09-02,C#,2.99
2006-09-02,Java,21.53
2006-10-01,C,17.66
2006-10-01,C#,3.06
2006-10-01,Java,21.17
2006-11-02,C,17.2
2006-11-02,C#,3.02
2006-11-02,Java,20.4
2006-12-01,C,16.62
2006-12-01,C#,3.17
2006-12-01,Java,19.91
2007-01-02,C,15.81
2007-01-02,C#,3.52
2007-01-02,Java,19.16
2007-02-03,C,16.1
2007-02-03,C#,3.19
2007-02-03,Java,18.98
2007-03-03,C,15.63
2007-03-03,C#,3.37
2007-03-03,Java,18.04
2007-04-01,C,14.94
2007-04-01,C#,3.55
2007-04-01,Java,18.36
2007-05-05,C,15.15
2007-05-05,C#,3.66
2007-05-05,Java,19.14
2007-06-02,C,15.97
