date,language,rating
2001-06-30,C,20.24
2001-06-30,Java,26.49
2001-07-30,C,20.77
2001-07-30,Java,25.03
2001-08-30,C,20.75
2001-08-30,Java,24.66
2001-09-28,C,20.77
2001-09-28,Java,24.82
2001-10-26,C,19.75
2001-10-26,Java,25.68
2001-11-28,C,19.21
2001-11-28,Java,24.37
2001-12-31,C,20.14
2001-12-31,Java,24.2
2002-01-30,C,18.83
2002-01-30,Java,24.06
2002-02-27,C,19.89
2002-02-27,Java,24.01
2002-03-29,C,19.85
2002-03-29,Java,24.41
2002-04-29,C,19.82
2002-04-29,Java,25.05
2002-05-29,C,19.99
2002-05-29,Java,25.19
2002-06-29,C,19.57
2002-06-29,Java,24.2
2002-07-31,C,19.25
2002-07-31,Java,24.53
2002-08-29,C,18.16
2002-08-29,Java,22.89
2002-09-29,C,18.7
2002-09-29,Java,24.48
2002-10-30,C,18.73
2002-10-30,Java,24.2
2002-11-29,C,17.5
2002-11-29,Java,24.12
2002-12-31,C,17.26
2002-12-31,Java,24.23
2003-01-31,C,18.25
2003-01-31,Java,24.79
2003-02-28,C,18.54
2003-02-28,Java,24.78
2003-03-31,C,17.21
2003-03-31,Java,24.6
2003-04-30,C,18.02
2003-04-30,Java,24.66
2003-05-30,C,18.5
2003-05-30,Java,23.11
2003-06-30,C,18.52
2003-06-30,Java,22.34
2003-07-31,C,17.97
2003-07-31,Java,23.21
2003-08-31,C,17.78
2003-08-31,Java,22.24
2003-09-30,C,18.31
2003-09-30,Java,21.9
2003-10-31,C,17
2003-10-31,Java,23.08
2003-11-30,C,18.47
2003-11-30,Java,25.01
2003-12-31,C,18.6
2003-12-31,Java,23.57
2004-01-31,C,18.2
2004-01-31,Java,22.56
2004-02-29,C,18.93
2004-02-29,Java,23.17
2004-03-31,C,17.75
2004-03-31,Java,24.24
2004-04-30,C,17.95
2004-04-30,Java,18.69
2004-05-30,C,18.29
2004-05-30,Java,17.54
2004-06-30,C,17.14
2004-06-30,Java,17.05
2004-07-31,C,16.33
2004-07-31,Java,17
2004-08-30,C,17.12
2004-08-30,Java,15.9
2004-09-30,C,18.17
2004-09-30,Java,17.05
2004-10-31,C,17.99
2004-10-31,Java,14.8
2004-11-30,C,19.7
2004-11-30,Java,16.33
2004-12-31,C,20.71
2004-12-31,Java,17.48
2005-01-31,C,19.82
2005-01-31,Java,18.34
2005-02-28,C,19.47
2005-02-28,Java,18.87
2005-03-31,C,18.63
2005-03-31,Java,16.98
2005-04-30,C,18.52
2005-04-30,Java,17.4
2005-05-31,C,19.37
2005-05-31,Java,18.57
2005-06-30,C,19.85
2005-06-30,Java,19.66
2005-07-31,C,19.47
2005-07-31,Java,21.21
2005-08-31,C,19.16
2005-08-31,Java,22.44
2005-09-30,C,18.77
2005-09-30,Java,21.87
2005-12-03,C,19.63
2005-12-03,Java,22.13
2006-01-04,C,19.01
2006-01-04,Java,22.25
2006-02-02,C,18.33
2006-02-02,Java,22.43
2006-03-01,C,17.79
2006-03-01,Java,21.89
2006-04-02,C,17.69
2006-04-02,Java,21.28
2006-05-01,C,17.69
2006-05-01,Java,21.32
2006-06-01,C,18.25
2006-06-01,Java,21.13
2006-07-02,C,17.83
2006-07-02,Java,21.85
2006-08-02,C,17.43
2006-08-02,Java,22.38
2006-09-02,C,18.06
2006-09-02,Java,21.53
2006-10-01,C,17.66
2006-10-01,Java,21.17
2006-11-02,C,17.2
2006-11-02,Java,20.4
2006-12-01,C,16.62
2006-12-01,Java,19.91
2007-01-02,C,15.81
2007-01-02,Java,19.16
2007-02-03,C,16.1
2007-02-03,Java,18.98
2007-03-03,C,15.63
2007-03-03,Java,18.04
2007-04-01,C,14.94
2007-04-01,Java,18.36
2007-05-05,C,15.15
2007-05-05,Java,19.14
2007-06-02,C,15.97
2007-06-02,Java,20.03
2007-07-02,C,16.36
2007-07-02,Java,21.01
2007-08-05,C,15.7
2007-08-05,Java,21.77
2007-09-02,C,14.91
2007-09-02,Java,21.7
2007-10-04,C,14.59
2007-10-04,Java,21.62
2007-11-04,C,13.97
2007-11-04,Java,20.54
2007-12-03,C,13.17
2007-12-03,Java,20.05
2008-01-03,C,13.92
2008-01-03,Java,20.85
2008-02-07,C,14.86
2008-02-07,Java,21.48
2008-06-01,C,15.51
2008-06-01,Java,20.89
2008-07-02,C,15.95
2008-07-02,Java,21.34
2008-08-03,C,16.18
2008-08-03,Java,21.57
2008-09-03,C,15.38
2008-09-03,Java,20.71
2008-10-06,C,15.57
2008-10-06,Java,20.95
2008-11-02,C,15.28
2008-11-02,Java,20.3
2008-12-03,C,15.02
2008-12-03,Java,17.92
2009-01-02,C,15.93
2009-01-02,Java,19.02
2009-02-01,C,15.84
2009-02-01,Java,19.4
2009-03-05,C,15.86
2009-03-05,Java,19.8
2009-04-07,C,15.47
2009-04-07,Java,19.34
2009-05-01,C,16.13
2009-05-01,Java,19.54
2009-06-04,C,16.78
2009-06-04,Java,20.15
2009-07-02,C,17.32
2009-07-02,Java,20.45
2009-08-01,C,17.22
2009-08-01,Java,19.53
2009-09-05,C,16.86
2009-09-05,Java,19.38
2009-10-02,C,16.84
2009-10-02,Java,18.65
2009-11-02,C,17.32
2009-11-02,Java,18.37
2009-12-02,C,16.28
2009-12-02,Java,17.06
2010-01-05,C,16.22
2010-01-05,Java,17.48
2010-02-07,C,16.6
2010-02-07,Java,17.35
2010-03-07,C,17.28
2010-03-07,Java,17.51
2010-04-05,C,18.06
2010-04-05,Java,18.05
2010-05-15,C,18.19
2010-05-15,Java,17.96
2010-07-06,C,18.48
2010-07-06,Java,18.67
2010-07-30,C,17.87
2010-07-30,Java,17.99
2010-09-11,C,17.15
2010-09-11,Java,17.92
2010-10-02,C,17.18
2010-10-02,Java,18.17
2010-11-03,C,16.72
2010-11-03,Java,18.51
2010-12-07,C,16.08
2010-12-07,Java,18
2011-01-02,C,15.82
2011-01-02,Java,17.77
2011-02-08,C,14.99
2011-02-08,Java,18.48
2011-03-08,C,15.26
2011-03-08,Java,19.71
2011-04-03,C,16.16
2011-04-03,Java,19.04
2011-05-02,C,16.17
2011-05-02,Java,18.16
2011-06-05,C,16.28
2011-06-05,Java,18.58
2011-06-27,C,16.28
2011-06-27,Java,18.58
2011-07-08,C,17.28
2011-07-08,Java,19.25
2011-08-03,C,17.39
2011-08-03,Java,19.41
2011-09-10,C,18
2011-09-10,Java,18.76
2011-10-09,C,17.71
2011-10-09,Java,17.91
2011-11-07,C,17.32
2011-11-07,Java,17.87
2011-12-04,C,17.06
2011-12-04,Java,17.56
2012-01-08,C,16.97
2012-01-08,Java,17.47
2012-02-05,C,16.52
2012-02-05,Java,17.05
2012-03-11,C,17.09
2012-03-11,Java,17.11
2012-04-08,C,17.55
2012-04-08,Java,17.03
2012-05-09,C,17.35
2012-05-09,Java,16.6
2012-06-10,C,17.72
2012-06-10,Java,16.26
2012-07-04,C,18.33
2012-07-04,Java,16.09
2012-08-10,C,18.94
2012-08-10,Java,16.35
2012-09-02,C,19.3
2012-09-02,Java,16.27
2012-10-05,C,19.82
2012-10-05,Java,17.19
2012-11-04,C,19.22
2012-11-04,Java,17.46
2012-12-02,C,18.7
2012-12-02,Java,17.57
2013-01-05,C,17.85
2013-01-05,Java,17.42
2013-02-08,C,17.08
